行政區別,謝長廷、蘇貞昌,馬英九、蕭萬長,總計
總　計,5444949,7659014,13103963
　臺北市,593256,1011546,1604802
　高雄市,440367,469252,909619
　臺北縣,866915,1359419,2226334
　宜蘭縣,123700,130951,254651
　桃園縣,379416,693602,1073018
　新竹縣,73178,208445,281623
　苗栗縣,92795,227069,319864
　臺中縣,353706,505698,859404
　彰化縣,309134,419700,728834
　南投縣,109955,179630,289585
　雲林縣,199558,187705,387263
　嘉義縣,166833,139603,306436
　臺南縣,354409,276751,631160
　高雄縣,373900,353333,727233
　屏東縣,249795,247305,497100
　臺東縣,29714,81668,111382
　花蓮縣,40003,137604,177607
　澎湖縣,18181,25037,43218
　基隆市,72562,152327,224889
　新竹市,79634,145930,225564
　臺中市,226751,365979,592730
　嘉義市,72442,79713,152155
　臺南市,216815,223034,439849
　金門縣,1710,33384,35094
　連江縣,220,4329,4549
