,votes,party,percentage,year
謝長廷、蘇貞昌,5444949,民主進步黨推薦,0.4155,2008
馬英九、蕭萬長,7659014,中國國民黨推薦,0.5845,2008
蔡英文、蘇嘉全,6093578,民主進步黨推薦,0.4563,2012
馬英九、吳敦義,6891139,中國國民黨推薦,0.516,2012
宋楚瑜、林瑞雄,369588,無黨籍,0.0277,2012
朱立倫、王如玄,3813365,中國國民黨推薦,0.3104,2016
蔡英文、陳建仁,6894744,民主進步黨推薦,0.5612,2016
宋楚瑜、徐欣瑩,1576861,親民黨推薦,0.1284,2016
宋楚瑜、余湘,608590,親民黨推薦,0.0426,2020
韓國瑜、張善政,5522119,中國國民黨推薦,0.3861,2020
蔡英文、賴清德,8170231,民主進步黨推薦,0.5713,2020
"柯文哲, 吳欣盈",3690466,台灣民眾黨推薦,0.2646,2024
"賴清德, 蕭美琴",5586019,民主進步黨推薦,0.4005,2024
"侯友宜, 趙少康",4671021,中國國民黨推薦,0.3349,2024
